Agriculture,Animal/Pets,Beauty/Fashion,Business Services,Children/Education,Electronics,Entertainment,Fitness/Sports/Outdoors,Food And Beverage,Green/Cleantech,Hardware,Lifestyle/Home,Liquor/Alcohol,Manufacturing,Medical/Health,Others,Technology/Software,Vehicles/Electrical Vehicles,Pitchers Average Age,Yearly Revenue,Gross Margin,Net Margin,EBITDA,Has Patents,Bootstrapped,SKUs,Original Ask Amount,Original Offered Equity,Deal Valuation,Company Age
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9900107870794748,-2.699257642207998,-0.8550609400393328,-0.3193638364096484,0,0,-1.0739780087209225,-1.2930665966454171,-0.04411710759602807,5.5254529391317835,-0.8079169988019053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,-2.1840936578002252,-0.3577329405335901,1.5113477461950584,1.496374104467787,0,0,1.183338746515328,-0.44411732020127587,0.2934039000567096,4.61512051684126,-1.6569825652446528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.5462197654079479,-0.3577329405335901,-0.263458768480735,-0.49543539431291483,0,0,1.532949479433613,0.344781008947399,0.2934039000567096,7.265429723253953,0.46568135086221607
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.1840936578002252,-0.292690587709301,0.03234231729856389,-0.8145650930125853,0,0,-0.7939674376352235,0.23612829864447285,0.2934039000567096,6.2166061010848646,-1.2324497820232792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.22896990664991784,-0.03252117641214455,0.7718450317468111,-0.8145650930125853,0,0,-0.05555800197629232,-0.6200743731796271,-0.38163811524876573,5.929589143389895,0.04114856764084229
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.1840936578002252,0.292690587709301,-0.5592598542600339,0.010770334658976213,0,0,0.15900613818327788,-0.44411732020127587,2.3185299459731357,5.303304908059076,-1.6569825652446528
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.12100628277373052,-0.09756352923643367,0.03234231729856389,0.17583742019328852,0,0,0.15900613818327788,1.406875911549097,-0.04411710759602807,6.90875477931522,-0.8079169988019053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.35447737189988493,-0.3577329405335901,1.5113477461950584,1.496374104467787,1,0,1.183338746515328,0.344781008947399,2.3185299459731357,5.993961427306569,0.46568135086221607
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-1.444666048224346,2.56917293655942,0.03234231729856389,0.2308597820380593,0,0,0.15900613818327788,0.721085413385939,-0.7191591229015034,4.61512051684126,-0.3833842155805315
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.34299573470661393,-0.1300847056485782,-0.5592598542600339,-0.4844309219439607,0,0,1.5497136900932147,-0.44411732020127587,0.6309249077094473,6.398594934535208,-0.3833842155805315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.1840936578002252,-1.398410585722216,0.03234231729856389,-0.8145650930125853,0,0,1.6605414518614763,-0.0044488989377106805,-0.38163811524876573,7.195937226475569,-1.2324497820232792
